air_quality,area,bbox_id,closest_shop,cloud_cover,humidity,shops_amount,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,102.636039367715,Berlin2,194,0.61,0.7,19,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,16.3993345182479,Berlin2,265,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,833.499272243021,Berlin2,49,0.61,0.7,16,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,202.524764787836,Berlin2,58,0.61,0.7,19,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,708.141178538113,Berlin2,151,0.61,0.7,13,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,165.389650396846,Berlin2,443,0.61,0.7,2,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,25.186853416476,Berlin2,305,0.61,0.7,7,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,209.05409042717,Berlin2,396,0.61,0.7,3,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,250.788735745023,Berlin2,83,0.61,0.7,23,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,170.224016776009,Berlin2,130,0.61,0.7,11,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,563.162794069227,Berlin2,75,0.61,0.7,36,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,46.5976026621882,Berlin2,124,0.61,0.7,17,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,370.31738888617,Berlin2,8,0.61,0.7,27,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,191.955080236646,Berlin2,3,0.61,0.7,5,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,190.581533268121,Berlin2,79,0.61,0.7,22,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,24.6259130720073,Berlin2,390,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,233.971259438287,Berlin2,81,0.61,0.7,10,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
